# Sampling period, Ts = 5e-06 s, Total time = 0 to 5e-03 s 
# t(s) 	 x(t) 	 y(t)
3.6000e-04	3.0902e-01	-4.5399e-01
3.6500e-04	-3.0902e-01	-8.9101e-01
3.7000e-04	-8.0902e-01	-9.8769e-01
3.7500e-04	-1.0000e+00	-7.0711e-01
3.8000e-04	-8.0902e-01	-1.5643e-01
3.8500e-04	-3.0902e-01	4.5399e-01
3.9000e-04	3.0902e-01	8.9101e-01
3.9500e-04	8.0902e-01	9.8769e-01
4.0000e-04	1.0000e+00	7.0711e-01
4.0500e-04	8.0902e-01	1.5643e-01
4.1000e-04	3.0902e-01	-4.5399e-01
4.1500e-04	-3.0902e-01	-8.9101e-01
4.2000e-04	-8.0902e-01	-9.8769e-01
4.2500e-04	-1.0000e+00	-7.0711e-01
4.3000e-04	-8.0902e-01	-1.5643e-01
4.3500e-04	-3.0902e-01	4.5399e-01
4.4000e-04	3.0902e-01	8.9101e-01
4.4500e-04	8.0902e-01	9.8769e-01
4.5000e-04	1.0000e+00	7.0711e-01
4.5500e-04	8.0902e-01	1.5643e-01
4.6000e-04	3.0902e-01	-4.5399e-01
4.6500e-04	-3.0902e-01	-8.9101e-01
4.7000e-04	-8.0902e-01	-9.8769e-01
4.7500e-04	-1.0000e+00	-7.0711e-01
4.8000e-04	-8.0902e-01	-1.5643e-01
4.8500e-04	-3.0902e-01	4.5399e-01
4.9000e-04	3.0902e-01	8.9101e-01
4.9500e-04	8.0902e-01	9.8769e-01
5.0000e-04	1.0000e+00	7.0711e-01
5.0500e-04	8.0902e-01	1.5643e-01
5.1000e-04	3.0902e-01	-4.5399e-01
5.1500e-04	-3.0902e-01	-8.9101e-01
5.2000e-04	-8.0902e-01	-9.8769e-01
5.2500e-04	-1.0000e+00	-7.0711e-01
5.3000e-04	-8.0902e-01	-1.5643e-01
5.3500e-04	-3.0902e-01	4.5399e-01
5.4000e-04	3.0902e-01	8.9101e-01
5.4500e-04	8.0902e-01	9.8769e-01
5.5000e-04	1.0000e+00	7.0711e-01
5.5500e-04	8.0902e-01	1.5643e-01
5.6000e-04	3.0902e-01	-4.5399e-01
5.6500e-04	-3.0902e-01	-8.9101e-01
5.7000e-04	-8.0902e-01	-9.8769e-01
5.7500e-04	-1.0000e+00	-7.0711e-01
5.8000e-04	-8.0902e-01	-1.5643e-01
5.8500e-04	-3.0902e-01	4.5399e-01
5.9000e-04	3.0902e-01	8.9101e-01
5.9500e-04	8.0902e-01	9.8769e-01
6.0000e-04	1.0000e+00	7.0711e-01
6.0500e-04	8.0902e-01	1.5643e-01
6.1000e-04	3.0902e-01	-4.5399e-01
6.1500e-04	-3.0902e-01	-8.9101e-01
6.2000e-04	-8.0902e-01	-9.8769e-01
6.2500e-04	-1.0000e+00	-7.0711e-01
6.3000e-04	-8.0902e-01	-1.5643e-01
6.3500e-04	-3.0902e-01	4.5399e-01
6.4000e-04	3.0902e-01	8.9101e-01
6.4500e-04	8.0902e-01	9.8769e-01
6.5000e-04	1.0000e+00	7.0711e-01
6.5500e-04	8.0902e-01	1.5643e-01
6.6000e-04	3.0902e-01	-4.5399e-01
6.6500e-04	-3.0902e-01	-8.9101e-01
6.7000e-04	-8.0902e-01	-9.8769e-01
6.7500e-04	-1.0000e+00	-7.0711e-01
6.8000e-04	-8.0902e-01	-1.5643e-01
6.8500e-04	-3.0902e-01	4.5399e-01
6.9000e-04	3.0902e-01	8.9101e-01
6.9500e-04	8.0902e-01	9.8769e-01
7.0000e-04	1.0000e+00	7.0711e-01
7.0500e-04	8.0902e-01	1.5643e-01
7.1000e-04	3.0902e-01	-4.5399e-01
7.1500e-04	-3.0902e-01	-8.9101e-01
7.2000e-04	-8.0902e-01	-9.8769e-01
7.2500e-04	-1.0000e+00	-7.0711e-01
7.3000e-04	-8.0902e-01	-1.5643e-01
7.3500e-04	-3.0902e-01	4.5399e-01
7.4000e-04	3.0902e-01	8.9101e-01
7.4500e-04	8.0902e-01	9.8769e-01
7.5000e-04	1.0000e+00	7.0711e-01
7.5500e-04	8.0902e-01	1.5643e-01
7.6000e-04	3.0902e-01	-4.5399e-01
7.6500e-04	-3.0902e-01	-8.9101e-01
7.7000e-04	-8.0902e-01	-9.8769e-01
7.7500e-04	-1.0000e+00	-7.0711e-01
7.8000e-04	-8.0902e-01	-1.5643e-01
7.8500e-04	-3.0902e-01	4.5399e-01
7.9000e-04	3.0902e-01	8.9101e-01
7.9500e-04	8.0902e-01	9.8769e-01
8.0000e-04	1.0000e+00	7.0711e-01
8.0500e-04	8.0902e-01	1.5643e-01
8.1000e-04	3.0902e-01	-4.5399e-01
8.1500e-04	-3.0902e-01	-8.9101e-01
8.2000e-04	-8.0902e-01	-9.8769e-01
8.2500e-04	-1.0000e+00	-7.0711e-01
8.3000e-04	-8.0902e-01	-1.5643e-01
8.3500e-04	-3.0902e-01	4.5399e-01
8.4000e-04	3.0902e-01	8.9101e-01
8.4500e-04	8.0902e-01	9.8769e-01
8.5000e-04	1.0000e+00	7.0711e-01
8.5500e-04	8.0902e-01	1.5643e-01
8.6000e-04	3.0902e-01	-4.5399e-01
8.6500e-04	-3.0902e-01	-8.9101e-01
8.7000e-04	-8.0902e-01	-9.8769e-01
8.7500e-04	-1.0000e+00	-7.0711e-01
8.8000e-04	-8.0902e-01	-1.5643e-01
8.8500e-04	-3.0902e-01	4.5399e-01
8.9000e-04	3.0902e-01	8.9101e-01
8.9500e-04	8.0902e-01	9.8769e-01
9.0000e-04	1.0000e+00	7.0711e-01
9.0500e-04	8.0902e-01	1.5643e-01
9.1000e-04	3.0902e-01	-4.5399e-01
9.1500e-04	-3.0902e-01	-8.9101e-01
9.2000e-04	-8.0902e-01	-9.8769e-01
9.2500e-04	-1.0000e+00	-7.0711e-01
9.3000e-04	-8.0902e-01	-1.5643e-01
9.3500e-04	-3.0902e-01	4.5399e-01
9.4000e-04	3.0902e-01	8.9101e-01
9.4500e-04	8.0902e-01	9.8769e-01
9.5000e-04	1.0000e+00	7.0711e-01
9.5500e-04	8.0902e-01	1.5643e-01
9.6000e-04	3.0902e-01	-4.5399e-01
9.6500e-04	-3.0902e-01	-8.9101e-01
9.7000e-04	-8.0902e-01	-9.8769e-01
9.7500e-04	-1.0000e+00	-7.0711e-01
9.8000e-04	-8.0902e-01	-1.5643e-01
9.8500e-04	-3.0902e-01	4.5399e-01
9.9000e-04	3.0902e-01	8.9101e-01
9.9500e-04	8.0902e-01	9.8769e-01
1.0000e-03	1.0000e+00	7.0711e-01
1.0050e-03	8.0902e-01	1.5643e-01
1.0100e-03	3.0902e-01	-4.5399e-01
1.0150e-03	-3.0902e-01	-8.9101e-01
1.0200e-03	-8.0902e-01	-9.8769e-01
1.0250e-03	-1.0000e+00	-7.0711e-01
1.0300e-03	-8.0902e-01	-1.5643e-01
1.0350e-03	-3.0902e-01	4.5399e-01
1.0400e-03	3.0902e-01	8.9101e-01
1.0450e-03	8.0902e-01	9.8769e-01
1.0500e-03	1.0000e+00	7.0711e-01
1.0550e-03	8.0902e-01	1.5643e-01
1.0600e-03	3.0902e-01	-4.5399e-01
1.0650e-03	-3.0902e-01	-8.9101e-01
1.0700e-03	-8.0902e-01	-9.8769e-01
1.0750e-03	-1.0000e+00	-7.0711e-01
1.0800e-03	-8.0902e-01	-1.5643e-01
1.0850e-03	-3.0902e-01	4.5399e-01
1.0900e-03	3.0902e-01	8.9101e-01
1.0950e-03	8.0902e-01	9.8769e-01
1.1000e-03	1.0000e+00	7.0711e-01
1.1050e-03	8.0902e-01	1.5643e-01
1.1100e-03	3.0902e-01	-4.5399e-01
1.1150e-03	-3.0902e-01	-8.9101e-01
1.1200e-03	-8.0902e-01	-9.8769e-01
1.1250e-03	-1.0000e+00	-7.0711e-01
1.1300e-03	-8.0902e-01	-1.5643e-01
1.1350e-03	-3.0902e-01	4.5399e-01
1.1400e-03	3.0902e-01	8.9101e-01
1.1450e-03	8.0902e-01	9.8769e-01
1.1500e-03	1.0000e+00	7.0711e-01
1.1550e-03	8.0902e-01	1.5643e-01
1.1600e-03	3.0902e-01	-4.5399e-01
1.1650e-03	-3.0902e-01	-8.9101e-01
1.1700e-03	-8.0902e-01	-9.8769e-01
1.1750e-03	-1.0000e+00	-7.0711e-01
1.1800e-03	-8.0902e-01	-1.5643e-01
1.1850e-03	-3.0902e-01	4.5399e-01
1.1900e-03	3.0902e-01	8.9101e-01
1.1950e-03	8.0902e-01	9.8769e-01
1.2000e-03	1.0000e+00	7.0711e-01
1.2050e-03	8.0902e-01	1.5643e-01
1.2100e-03	3.0902e-01	-4.5399e-01
1.2150e-03	-3.0902e-01	-8.9101e-01
1.2200e-03	-8.0902e-01	-9.8769e-01
1.2250e-03	-1.0000e+00	-7.0711e-01
1.2300e-03	-8.0902e-01	-1.5643e-01
1.2350e-03	-3.0902e-01	4.5399e-01
1.2400e-03	3.0902e-01	8.9101e-01
1.2450e-03	8.0902e-01	9.8769e-01
1.2500e-03	1.0000e+00	7.0711e-01
1.2550e-03	8.0902e-01	1.5643e-01
1.2600e-03	3.0902e-01	-4.5399e-01
1.2650e-03	-3.0902e-01	-8.9101e-01
1.2700e-03	-8.0902e-01	-9.8769e-01
1.2750e-03	-1.0000e+00	-7.0711e-01
1.2800e-03	-8.0902e-01	-1.5643e-01
1.2850e-03	-3.0902e-01	4.5399e-01
1.2900e-03	3.0902e-01	8.9101e-01
1.2950e-03	8.0902e-01	9.8769e-01
1.3000e-03	1.0000e+00	7.0711e-01
1.3050e-03	8.0902e-01	1.5643e-01
1.3100e-03	3.0902e-01	-4.5399e-01
1.3150e-03	-3.0902e-01	-8.9101e-01
1.3200e-03	-8.0902e-01	-9.8769e-01
1.3250e-03	-1.0000e+00	-7.0711e-01
1.3300e-03	-8.0902e-01	-1.5643e-01
1.3350e-03	-3.0902e-01	4.5399e-01
1.3400e-03	3.0902e-01	8.9101e-01
1.3450e-03	8.0902e-01	9.8769e-01
1.3500e-03	1.0000e+00	7.0711e-01
1.3550e-03	8.0902e-01	1.5643e-01
1.3600e-03	3.0902e-01	-4.5399e-01
1.3650e-03	-3.0902e-01	-8.9101e-01
1.3700e-03	-8.0902e-01	-9.8769e-01
1.3750e-03	-1.0000e+00	-7.0711e-01
1.3800e-03	-8.0902e-01	-1.5643e-01
1.3850e-03	-3.0902e-01	4.5399e-01
1.3900e-03	3.0902e-01	8.9101e-01
1.3950e-03	8.0902e-01	9.8769e-01
1.4000e-03	1.0000e+00	7.0711e-01
1.4050e-03	8.0902e-01	1.5643e-01
1.4100e-03	3.0902e-01	-4.5399e-01
1.4150e-03	-3.0902e-01	-8.9101e-01
1.4200e-03	-8.0902e-01	-9.8769e-01
1.4250e-03	-1.0000e+00	-7.0711e-01
1.4300e-03	-8.0902e-01	-1.5643e-01
1.4350e-03	-3.0902e-01	4.5399e-01
1.4400e-03	3.0902e-01	8.9101e-01
1.4450e-03	8.0902e-01	9.8769e-01
1.4500e-03	1.0000e+00	7.0711e-01
1.4550e-03	8.0902e-01	1.5643e-01
1.4600e-03	3.0902e-01	-4.5399e-01
1.4650e-03	-3.0902e-01	-8.9101e-01
1.4700e-03	-8.0902e-01	-9.8769e-01
1.4750e-03	-1.0000e+00	-7.0711e-01
1.4800e-03	-8.0902e-01	-1.5643e-01
1.4850e-03	-3.0902e-01	4.5399e-01
1.4900e-03	3.0902e-01	8.9101e-01
1.4950e-03	8.0902e-01	9.8769e-01
1.5000e-03	1.0000e+00	7.0711e-01
1.5050e-03	8.0902e-01	1.5643e-01
1.5100e-03	3.0902e-01	-4.5399e-01
1.5150e-03	-3.0902e-01	-8.9101e-01
1.5200e-03	-8.0902e-01	-9.8769e-01
1.5250e-03	-1.0000e+00	-7.0711e-01
1.5300e-03	-8.0902e-01	-1.5643e-01
1.5350e-03	-3.0902e-01	4.5399e-01
1.5400e-03	3.0902e-01	8.9101e-01
1.5450e-03	8.0902e-01	9.8769e-01
1.5500e-03	1.0000e+00	7.0711e-01
1.5550e-03	8.0902e-01	1.5643e-01
1.5600e-03	3.0902e-01	-4.5399e-01
1.5650e-03	-3.0902e-01	-8.9101e-01
1.5700e-03	-8.0902e-01	-9.8769e-01
1.5750e-03	-1.0000e+00	-7.0711e-01
1.5800e-03	-8.0902e-01	-1.5643e-01
1.5850e-03	-3.0902e-01	4.5399e-01
1.5900e-03	3.0902e-01	8.9101e-01
1.5950e-03	8.0902e-01	9.8769e-01
1.6000e-03	1.0000e+00	7.0711e-01
1.6050e-03	8.0902e-01	1.5643e-01
1.6100e-03	3.0902e-01	-4.5399e-01
1.6150e-03	-3.0902e-01	-8.9101e-01
1.6200e-03	-8.0902e-01	-9.8769e-01
1.6250e-03	-1.0000e+00	-7.0711e-01
1.6300e-03	-8.0902e-01	-1.5643e-01
1.6350e-03	-3.0902e-01	4.5399e-01
1.6400e-03	3.0902e-01	8.9101e-01
1.6450e-03	8.0902e-01	9.8769e-01
1.6500e-03	1.0000e+00	7.0711e-01
1.6550e-03	8.0902e-01	1.5643e-01
1.6600e-03	3.0902e-01	-4.5399e-01
1.6650e-03	-3.0902e-01	-8.9101e-01
1.6700e-03	-8.0902e-01	-9.8769e-01
1.6750e-03	-1.0000e+00	-7.0711e-01
1.6800e-03	-8.0902e-01	-1.5643e-01
1.6850e-03	-3.0902e-01	4.5399e-01
1.6900e-03	3.0902e-01	8.9101e-01
1.6950e-03	8.0902e-01	9.8769e-01
1.7000e-03	1.0000e+00	7.0711e-01
1.7050e-03	8.0902e-01	1.5643e-01
1.7100e-03	3.0902e-01	-4.5399e-01
1.7150e-03	-3.0902e-01	-8.9101e-01
1.7200e-03	-8.0902e-01	-9.8769e-01
1.7250e-03	-1.0000e+00	-7.0711e-01
1.7300e-03	-8.0902e-01	-1.5643e-01
1.7350e-03	-3.0902e-01	4.5399e-01
1.7400e-03	3.0902e-01	8.9101e-01
1.7450e-03	8.0902e-01	9.8769e-01
1.7500e-03	1.0000e+00	7.0711e-01
1.7550e-03	8.0902e-01	1.5643e-01
1.7600e-03	3.0902e-01	-4.5399e-01
1.7650e-03	-3.0902e-01	-8.9101e-01
1.7700e-03	-8.0902e-01	-9.8769e-01
1.7750e-03	-1.0000e+00	-7.0711e-01
1.7800e-03	-8.0902e-01	-1.5643e-01
1.7850e-03	-3.0902e-01	4.5399e-01
1.7900e-03	3.0902e-01	8.9101e-01
1.7950e-03	8.0902e-01	9.8769e-01
1.8000e-03	1.0000e+00	7.0711e-01
1.8050e-03	8.0902e-01	1.5643e-01
1.8100e-03	3.0902e-01	-4.5399e-01
1.8150e-03	-3.0902e-01	-8.9101e-01
1.8200e-03	-8.0902e-01	-9.8769e-01
1.8250e-03	-1.0000e+00	-7.0711e-01
1.8300e-03	-8.0902e-01	-1.5643e-01
1.8350e-03	-3.0902e-01	4.5399e-01
1.8400e-03	3.0902e-01	8.9101e-01
1.8450e-03	8.0902e-01	9.8769e-01
1.8500e-03	1.0000e+00	7.0711e-01
1.8550e-03	8.0902e-01	1.5643e-01
1.8600e-03	3.0902e-01	-4.5399e-01
1.8650e-03	-3.0902e-01	-8.9101e-01
1.8700e-03	-8.0902e-01	-9.8769e-01
1.8750e-03	-1.0000e+00	-7.0711e-01
1.8800e-03	-8.0902e-01	-1.5643e-01
1.8850e-03	-3.0902e-01	4.5399e-01
1.8900e-03	3.0902e-01	8.9101e-01
1.8950e-03	8.0902e-01	9.8769e-01
1.9000e-03	1.0000e+00	7.0711e-01
1.9050e-03	8.0902e-01	1.5643e-01
1.9100e-03	3.0902e-01	-4.5399e-01
1.9150e-03	-3.0902e-01	-8.9101e-01
1.9200e-03	-8.0902e-01	-9.8769e-01
1.9250e-03	-1.0000e+00	-7.0711e-01
1.9300e-03	-8.0902e-01	-1.5643e-01
1.9350e-03	-3.0902e-01	4.5399e-01
1.9400e-03	3.0902e-01	8.9101e-01
1.9450e-03	8.0902e-01	9.8769e-01
1.9500e-03	1.0000e+00	7.0711e-01
1.9550e-03	8.0902e-01	1.5643e-01
1.9600e-03	3.0902e-01	-4.5399e-01
1.9650e-03	-3.0902e-01	-8.9101e-01
1.9700e-03	-8.0902e-01	-9.8769e-01
1.9750e-03	-1.0000e+00	-7.0711e-01
1.9800e-03	-8.0902e-01	-1.5643e-01
1.9850e-03	-3.0902e-01	4.5399e-01
1.9900e-03	3.0902e-01	8.9101e-01
1.9950e-03	8.0902e-01	9.8769e-01
2.0000e-03	1.0000e+00	7.0711e-01
2.0050e-03	8.0902e-01	1.5643e-01
2.0100e-03	3.0902e-01	-4.5399e-01
2.0150e-03	-3.0902e-01	-8.9101e-01
2.0200e-03	-8.0902e-01	-9.8769e-01
2.0250e-03	-1.0000e+00	-7.0711e-01
2.0300e-03	-8.0902e-01	-1.5643e-01
2.0350e-03	-3.0902e-01	4.5399e-01
2.0400e-03	3.0902e-01	8.9101e-01
2.0450e-03	8.0902e-01	9.8769e-01
2.0500e-03	1.0000e+00	7.0711e-01
2.0550e-03	8.0902e-01	1.5643e-01
2.0600e-03	3.0902e-01	-4.5399e-01
2.0650e-03	-3.0902e-01	-8.9101e-01
2.0700e-03	-8.0902e-01	-9.8769e-01
2.0750e-03	-1.0000e+00	-7.0711e-01
2.0800e-03	-8.0902e-01	-1.5643e-01
2.0850e-03	-3.0902e-01	4.5399e-01
2.0900e-03	3.0902e-01	8.9101e-01
2.0950e-03	8.0902e-01	9.8769e-01
2.1000e-03	1.0000e+00	7.0711e-01
2.1050e-03	8.0902e-01	1.5643e-01
2.1100e-03	3.0902e-01	-4.5399e-01
2.1150e-03	-3.0902e-01	-8.9101e-01
2.1200e-03	-8.0902e-01	-9.8769e-01
2.1250e-03	-1.0000e+00	-7.0711e-01
2.1300e-03	-8.0902e-01	-1.5643e-01
2.1350e-03	-3.0902e-01	4.5399e-01
2.1400e-03	3.0902e-01	8.9101e-01
2.1450e-03	8.0902e-01	9.8769e-01
2.1500e-03	1.0000e+00	7.0711e-01
2.1550e-03	8.0902e-01	1.5643e-01
2.1600e-03	3.0902e-01	-4.5399e-01
2.1650e-03	-3.0902e-01	-8.9101e-01
2.1700e-03	-8.0902e-01	-9.8769e-01
2.1750e-03	-1.0000e+00	-7.0711e-01
2.1800e-03	-8.0902e-01	-1.5643e-01
2.1850e-03	-3.0902e-01	4.5399e-01
2.1900e-03	3.0902e-01	8.9101e-01
2.1950e-03	8.0902e-01	9.8769e-01
2.2000e-03	1.0000e+00	7.0711e-01
2.2050e-03	8.0902e-01	1.5643e-01
2.2100e-03	3.0902e-01	-4.5399e-01
2.2150e-03	-3.0902e-01	-8.9101e-01
2.2200e-03	-8.0902e-01	-9.8769e-01
2.2250e-03	-1.0000e+00	-7.0711e-01
2.2300e-03	-8.0902e-01	-1.5643e-01
2.2350e-03	-3.0902e-01	4.5399e-01
2.2400e-03	3.0902e-01	8.9101e-01
2.2450e-03	8.0902e-01	9.8769e-01
2.2500e-03	1.0000e+00	7.0711e-01
2.2550e-03	8.0902e-01	1.5643e-01
2.2600e-03	3.0902e-01	-4.5399e-01
2.2650e-03	-3.0902e-01	-8.9101e-01
2.2700e-03	-8.0902e-01	-9.8769e-01
2.2750e-03	-1.0000e+00	-7.0711e-01
2.2800e-03	-8.0902e-01	-1.5643e-01
2.2850e-03	-3.0902e-01	4.5399e-01
2.2900e-03	3.0902e-01	8.9101e-01
2.2950e-03	8.0902e-01	9.8769e-01
2.3000e-03	1.0000e+00	7.0711e-01
2.3050e-03	8.0902e-01	1.5643e-01
2.3100e-03	3.0902e-01	-4.5399e-01
2.3150e-03	-3.0902e-01	-8.9101e-01
2.3200e-03	-8.0902e-01	-9.8769e-01
2.3250e-03	-1.0000e+00	-7.0711e-01
2.3300e-03	-8.0902e-01	-1.5643e-01
2.3350e-03	-3.0902e-01	4.5399e-01
2.3400e-03	3.0902e-01	8.9101e-01
2.3450e-03	8.0902e-01	9.8769e-01
2.3500e-03	1.0000e+00	7.0711e-01
2.3550e-03	8.0902e-01	1.5643e-01
2.3600e-03	3.0902e-01	-4.5399e-01
2.3650e-03	-3.0902e-01	-8.9101e-01
2.3700e-03	-8.0902e-01	-9.8769e-01
2.3750e-03	-1.0000e+00	-7.0711e-01
2.3800e-03	-8.0902e-01	-1.5643e-01
2.3850e-03	-3.0902e-01	4.5399e-01
2.3900e-03	3.0902e-01	8.9101e-01
2.3950e-03	8.0902e-01	9.8769e-01
2.4000e-03	1.0000e+00	7.0711e-01
2.4050e-03	8.0902e-01	1.5643e-01
2.4100e-03	3.0902e-01	-4.5399e-01
2.4150e-03	-3.0902e-01	-8.9101e-01
2.4200e-03	-8.0902e-01	-9.8769e-01
2.4250e-03	-1.0000e+00	-7.0711e-01
2.4300e-03	-8.0902e-01	-1.5643e-01
2.4350e-03	-3.0902e-01	4.5399e-01
2.4400e-03	3.0902e-01	8.9101e-01
2.4450e-03	8.0902e-01	9.8769e-01
2.4500e-03	1.0000e+00	7.0711e-01
2.4550e-03	8.0902e-01	1.5643e-01
2.4600e-03	3.0902e-01	-4.5399e-01
2.4650e-03	-3.0902e-01	-8.9101e-01
2.4700e-03	-8.0902e-01	-9.8769e-01
2.4750e-03	-1.0000e+00	-7.0711e-01
2.4800e-03	-8.0902e-01	-1.5643e-01
2.4850e-03	-3.0902e-01	4.5399e-01
2.4900e-03	3.0902e-01	8.9101e-01
2.4950e-03	8.0902e-01	9.8769e-01
2.5000e-03	1.0000e+00	7.0711e-01
2.5050e-03	8.0902e-01	1.5643e-01
2.5100e-03	3.0902e-01	-4.5399e-01
2.5150e-03	-3.0902e-01	-8.9101e-01
2.5200e-03	-8.0902e-01	-9.8769e-01
2.5250e-03	-1.0000e+00	-7.0711e-01
2.5300e-03	-8.0902e-01	-1.5643e-01
2.5350e-03	-3.0902e-01	4.5399e-01
2.5400e-03	3.0902e-01	8.9101e-01
2.5450e-03	8.0902e-01	9.8769e-01
2.5500e-03	1.0000e+00	7.0711e-01
2.5550e-03	8.0902e-01	1.5643e-01
2.5600e-03	3.0902e-01	-4.5399e-01
2.5650e-03	-3.0902e-01	-8.9101e-01
2.5700e-03	-8.0902e-01	-9.8769e-01
2.5750e-03	-1.0000e+00	-7.0711e-01
2.5800e-03	-8.0902e-01	-1.5643e-01
2.5850e-03	-3.0902e-01	4.5399e-01
2.5900e-03	3.0902e-01	8.9101e-01
2.5950e-03	8.0902e-01	9.8769e-01
2.6000e-03	1.0000e+00	7.0711e-01
2.6050e-03	8.0902e-01	1.5643e-01
2.6100e-03	3.0902e-01	-4.5399e-01
2.6150e-03	-3.0902e-01	-8.9101e-01
2.6200e-03	-8.0902e-01	-9.8769e-01
2.6250e-03	-1.0000e+00	-7.0711e-01
2.6300e-03	-8.0902e-01	-1.5643e-01
2.6350e-03	-3.0902e-01	4.5399e-01
2.6400e-03	3.0902e-01	8.9101e-01
2.6450e-03	8.0902e-01	9.8769e-01
2.6500e-03	1.0000e+00	7.0711e-01
2.6550e-03	8.0902e-01	1.5643e-01
2.6600e-03	3.0902e-01	-4.5399e-01
2.6650e-03	-3.0902e-01	-8.9101e-01
2.6700e-03	-8.0902e-01	-9.8769e-01
2.6750e-03	-1.0000e+00	-7.0711e-01
2.6800e-03	-8.0902e-01	-1.5643e-01
2.6850e-03	-3.0902e-01	4.5399e-01
2.6900e-03	3.0902e-01	8.9101e-01
2.6950e-03	8.0902e-01	9.8769e-01
2.7000e-03	1.0000e+00	7.0711e-01
2.7050e-03	8.0902e-01	1.5643e-01
2.7100e-03	3.0902e-01	-4.5399e-01
2.7150e-03	-3.0902e-01	-8.9101e-01
2.7200e-03	-8.0902e-01	-9.8769e-01
2.7250e-03	-1.0000e+00	-7.0711e-01
2.7300e-03	-8.0902e-01	-1.5643e-01
2.7350e-03	-3.0902e-01	4.5399e-01
2.7400e-03	3.0902e-01	8.9101e-01
2.7450e-03	8.0902e-01	9.8769e-01
2.7500e-03	1.0000e+00	7.0711e-01
2.7550e-03	8.0902e-01	1.5643e-01
2.7600e-03	3.0902e-01	-4.5399e-01
2.7650e-03	-3.0902e-01	-8.9101e-01
2.7700e-03	-8.0902e-01	-9.8769e-01
